Year,Match_ID,Kohli_Runs,Rohit_Runs,Winner,Max_Scorer,Max_Runs
2008,1,23,18,RCB,Kohli,23
2009,2,45,12,MI,Kohli,45
2010,3,33,56,MI,Rohit,56
2011,4,71,32,RCB,Kohli,71
2012,5,11,48,MI,Rohit,48
2013,6,99,24,RCB,Kohli,99
2014,7,62,12,RCB,Kohli,62
2015,8,82,50,RCB,Kohli,82
2016,9,54,65,MI,Rohit,65
2017,10,19,38,MI,Rohit,38
2018,11,92,21,RCB,Kohli,92
2019,12,46,0,RCB,Kohli,46
2020,13,70,40,RCB,Kohli,70
2021,14,33,63,MI,Rohit,63
2022,15,41,28,RCB,Kohli,41
2023,16,82,19,RCB,Kohli,82
2024,17,34,71,MI,Rohit,71
2025,18,88,52,RCB,Kohli,88
